geno	Omi32_a_2_1	Omi32_a_2_2	Omi32_a_2_3	Omi32_a_2_4	Omi32_a_3_1	Omi32_a_3_2	Omi32_a_3_3	Omi32_a_3_4	Omi32_a_4_1	Omi32_a_4_2	Omi32_a_4_3	Omi32_a_4_4	Omi32_a_5_1	Omi32_a_5_2	Omi32_a_5_3	Omi32_a_5_4	Omi32_a_6_1	Omi32_a_6_2	Omi32_a_6_3	Omi32_a_6_4	Omi32_a_7_1	Omi32_a_7_2	Omi32_a_7_3	Omi32_a_7_4	Omi32_a_8_1	Omi32_a_8_2	Omi32_a_8_3	Omi32_a_8_4	Omi32_a_F_1	Omi32_a_F_2	Omi32_a_F_3	Omi32_a_F_4	Omi32_a_F_5	Omi32_a_F_6	Omi32_a_10_1	Omi32_b_2_1	Omi32_b_2_2	Omi32_b_2_3	Omi32_b_2_4	Omi32_b_3_1	Omi32_b_3_2	Omi32_b_3_3	Omi32_b_3_4	Omi32_b_4_1	Omi32_b_4_2	Omi32_b_4_3	Omi32_b_4_4	Omi32_b_5_1	Omi32_b_5_2	Omi32_b_5_3	Omi32_b_5_4	Omi32_b_6_1	Omi32_b_6_2	Omi32_b_6_3	Omi32_b_6_4	Omi32_b_7_1	Omi32_b_7_2	Omi32_b_7_3	Omi32_b_7_4	Omi32_b_8_1	Omi32_b_8_2	Omi32_b_8_3	Omi32_b_8_4	Omi32_b_F_1	Omi32_b_F_2	Omi32_b_F_3	Omi32_b_F_4	Omi32_b_F_5	Omi32_b_F_6	Omi32_b_10_1
0101000010011	1	51	2530	950	3	14	2830	47	1	94	1446	387	54	737	796	99	921	251	119	0	2191	63	0	0	4174	5	0	0	8	65	51	1090	3508	420	1	0	65	5204	1076	0	485	2569	650	0	1122	3046	220	64	1526	735	81	3304	483	8	0	3271	398	0	0	4508	181	0	0	194	6	926	1289	1448	1161	441
0101000010100	0	58	658	919	0	0	961	499	0	1	612	161	40	11	216	381	300	234	117	0	1069	6	0	0	1527	1	0	0	15	34	49	598	920	102	0	2	204	1530	1429	0	78	1457	419	1	2	1378	137	0	1	608	67	1230	173	0	0	3374	271	0	0	2667	95	0	0	0	0	5	477	515	655	289
0101000010101	0	28	1157	805	1	42	971	259	11	1	444	103	52	1	407	126	487	225	122	0	455	44	0	0	1885	1	0	0	80	2	103	759	1358	165	0	1	247	1674	1014	0	43	1088	307	0	8	1287	619	1	0	422	95	1023	56	97	0	1850	141	0	0	2090	72	0	0	33	0	229	743	484	397	98
0101000010110	0	6	276	356	0	0	40	85	0	3	102	99	0	0	39	401	75	154	22	0	355	0	0	0	649	0	0	0	0	0	2	205	690	70	0	0	88	950	484	0	9	471	416	0	2	218	196	0	14	631	416	11	93	202	0	826	0	0	0	313	30	0	0	0	0	344	470	285	93	44
0101000010111	0	0	273	64	0	0	102	0	0	1	153	105	0	0	54	0	10	91	44	0	142	1	0	0	504	0	0	0	0	1	18	10	743	24	0	2	1	140	629	1	0	2	180	1	1	194	94	1	0	160	332	171	83	0	0	0	2	0	0	434	0	0	0	0	111	0	169	161	58	1
0101000011000	0	114	1177	24	2	191	504	29	0	89	548	44	2	157	168	50	405	188	36	0	1048	19	0	0	1430	0	0	0	1	6	3	317	584	166	0	2	215	1127	192	0	546	1051	28	0	10	475	95	264	459	184	0	1102	194	2	0	533	9	0	0	2162	218	0	0	0	6	185	286	403	503	143
0101000011001	0	227	2020	151	1	157	1154	29	0	229	509	44	29	598	333	132	378	35	93	0	908	57	0	0	1889	0	0	0	2	2	26	297	1615	233	0	1	717	3165	8	1	773	1944	83	0	1701	961	221	357	737	421	38	2110	506	0	0	2178	1	0	0	1690	236	0	0	205	230	319	352	620	896	837
0101000011010	0	267	1517	749	0	77	1644	10	0	193	1233	55	25	634	293	64	782	320	276	0	2159	134	0	0	2774	2	0	0	4	51	67	603	2793	156	0	0	150	2706	1081	0	82	1989	82	0	338	2247	640	2	1228	708	230	1891	160	201	0	1707	150	0	0	2829	195	0	0	6	77	197	766	901	756	725
0101000011011	0	1	453	96	1	147	360	2	0	0	583	47	2	110	163	3	259	213	90	0	651	33	0	0	434	0	0	0	0	0	2	341	497	105	0	3	34	934	496	0	3	808	165	0	1	370	147	0	446	2	0	435	1	1	0	1100	4	0	0	861	0	0	0	151	0	0	323	110	400	3
0101000011100	0	2	575	742	2	3	734	223	0	176	376	316	9	47	351	58	437	353	158	0	731	1	0	0	1117	17	0	0	0	2	1	306	1630	99	0	0	4	1335	1434	0	9	1070	993	1	5	986	167	1	56	1204	1067	744	150	0	0	1316	8	0	0	1882	50	0	0	30	1	89	547	595	567	60
0101000011101	1	1	71	144	1	1	233	7	0	4	125	86	0	7	5	78	12	254	103	0	196	4	0	0	138	0	0	0	0	2	1	102	482	64	0	0	1	16	599	0	0	540	352	0	0	552	0	0	0	130	1	421	28	0	0	724	208	0	0	374	0	0	0	1	0	33	79	86	212	0
0101000011110	0	9	748	976	0	1	583	410	0	2	334	117	6	35	363	417	540	142	525	0	1702	84	0	0	1528	0	0	0	0	0	26	660	747	224	1	0	0	1025	1848	0	31	962	1434	0	3	970	1681	0	1	1055	346	345	199	69	0	2791	88	0	0	2152	114	0	0	0	1	56	456	386	962	329
0101000011111	3	2	524	444	0	4	298	181	0	0	32	272	23	72	148	121	127	1	0	0	367	0	0	0	613	0	0	0	0	0	44	104	466	8	0	0	0	729	483	0	225	414	300	0	0	185	381	0	2	162	51	10	342	135	0	159	7	0	0	278	28	0	0	3	2	354	288	105	246	1
0101000100000	0	296	551	0	0	421	515	6	0	132	363	0	0	428	77	1	339	33	27	0	653	1	0	0	835	0	0	0	1	2	25	87	713	87	0	0	290	854	82	0	421	977	50	0	424	900	1	217	152	5	0	832	118	0	0	449	1	0	0	675	0	0	0	1	0	49	130	213	514	161
0101000100001	1	435	1085	38	0	266	624	3	0	99	1040	72	30	287	136	19	413	242	45	0	1422	38	0	0	1367	0	0	0	1	6	18	533	842	225	0	6	583	2044	107	1	568	1016	48	0	1643	582	8	1	324	477	6	1035	110	111	0	2598	73	0	0	1707	1	0	0	3	5	251	387	549	520	571
0101000100010	0	100	4062	1445	1	383	3080	51	1	169	1575	330	43	835	788	117	1785	712	295	0	2670	141	0	0	3666	0	0	0	8	10	88	1071	3494	497	0	1	284	6194	1713	7	1159	5052	241	0	1003	3884	724	190	2035	1094	125	3496	351	7	0	2229	17	0	0	5499	245	0	0	80	13	547	937	1334	1315	455
0101000100011	0	30	629	205	0	1	525	31	0	57	267	46	0	357	85	1	291	234	1	0	449	55	0	0	622	0	0	0	0	68	1	252	978	22	0	1	2	1238	150	0	263	1232	2	0	1	747	0	0	0	122	97	1519	0	6	0	1760	3	0	0	846	1	0	0	0	2	96	132	211	515	436
0101000100100	1	43	1350	1888	2	29	2111	647	0	4	748	700	25	42	1025	497	1380	657	669	0	2158	47	0	0	2947	36	0	0	2	53	10	850	2653	345	0	2	29	3477	2686	1	156	3198	1779	0	8	1667	1157	19	95	2060	636	2284	656	248	0	4391	248	0	0	4472	99	0	0	2	2	208	1002	1234	826	244
0101000100101	0	5	571	297	0	1	441	55	1	0	210	188	5	67	226	292	125	90	76	0	335	29	0	0	883	0	0	0	47	0	2	147	687	76	0	0	2	97	655	1	0	276	200	0	1	457	107	6	139	202	255	788	30	1	0	913	16	0	0	452	1	0	0	1	1	4	158	14	151	4
0101000100110	0	0	85	150	0	1	104	134	1	0	239	196	0	1	82	173	116	119	20	0	178	17	0	0	155	0	0	0	0	0	17	194	128	60	0	0	77	291	626	2	45	152	259	0	2	5	198	0	1	579	281	270	17	8	0	618	0	0	0	949	76	0	0	1	17	0	63	205	139	31
0101000100111	1	9	444	1065	1	1	211	469	0	0	307	937	5	1	124	338	475	139	543	0	775	55	0	0	1361	36	0	0	3	35	14	233	1004	110	0	2	2	1633	1478	0	5	529	1562	0	8	482	936	0	66	551	571	17	160	91	0	2489	66	0	0	1593	183	0	0	0	26	79	478	248	656	604
0101000101000	0	762	1710	146	0	676	1649	44	8	223	516	45	83	1162	221	16	1037	155	353	0	1077	99	0	0	2245	2	0	0	1	7	4	619	2044	274	0	1	925	3840	66	3	1585	2206	100	0	2097	1422	9	59	1021	1006	134	2918	13	1	0	2876	171	0	0	3802	27	0	0	3	34	239	874	725	1142	176
0101000101001	0	1106	3331	378	4	1281	2396	42	2	504	1389	56	148	2066	550	82	2278	991	416	0	3631	58	0	0	5486	3	0	0	54	15	83	1615	4181	731	0	4	1221	6229	213	3	2057	4324	175	1	3119	3042	362	579	1174	1335	104	3662	149	196	0	4080	747	0	0	6927	163	0	0	100	271	542	1183	1517	1771	1409
0101000101010	0	40	731	305	1	3	691	30	1	0	405	66	0	260	165	30	663	77	1	0	715	4	0	0	879	0	0	0	9	1	1	414	918	154	0	0	194	1375	557	0	192	1132	213	1	6	980	3	1	628	0	55	422	4	109	0	1498	77	0	0	1479	82	0	0	48	1	8	229	177	242	136
0101000101011	0	75	2196	315	1	55	1213	29	2	111	899	99	14	608	261	136	623	128	200	0	1693	54	0	0	2272	0	0	0	0	6	51	527	2002	322	0	1	143	2730	915	1	283	2498	130	0	8	2135	80	24	732	1052	121	1149	102	15	0	2365	304	0	0	2436	112	0	0	2	104	163	380	521	800	300
0101000101100	0	219	653	530	0	0	612	78	0	0	801	210	27	60	314	5	374	198	77	0	367	13	0	0	1338	1	0	0	0	6	1	408	1453	160	0	2	1	1095	1069	0	65	1387	560	0	264	611	308	7	174	523	1	1206	202	79	0	366	53	0	0	1351	1	0	0	175	3	145	110	263	714	368
0101000101101	1	1	436	312	0	95	460	106	0	5	407	112	11	4	85	73	272	111	48	0	506	0	0	0	449	1	0	0	4	3	2	17	542	64	0	0	9	581	675	1	2	506	177	0	0	437	84	2	44	488	0	477	0	0	0	817	3	0	0	411	2	0	0	0	4	1	214	164	207	151
0101000101110	1	37	932	1551	1	6	630	437	10	4	254	660	28	80	857	357	537	335	428	0	1433	128	0	0	2867	28	0	0	4	46	22	657	1171	150	0	2	6	1991	2279	0	106	1217	1318	0	11	768	832	0	9	923	708	1208	357	64	0	2653	5	0	0	3036	105	0	0	0	138	242	691	776	824	528
0101000101111	0	28	155	392	1	0	243	138	0	40	23	209	0	0	76	96	100	0	324	0	144	0	0	0	1067	0	0	0	0	1	5	209	377	88	0	0	1	668	779	0	1	252	848	0	1	584	293	0	0	351	89	20	86	6	0	1095	0	0	0	1013	2	0	0	28	0	103	69	215	462	17
0101000110000	0	18	278	68	0	150	128	7	0	0	72	1	9	92	70	4	172	74	79	0	446	0	0	0	990	0	0	0	0	2	0	142	300	75	0	0	315	727	46	0	116	279	2	1	634	218	75	0	322	630	0	827	35	0	0	6	0	0	0	1036	43	0	0	1	0	0	71	145	302	1
0101000110001	0	127	444	2	0	159	285	68	0	108	117	57	26	518	109	1	409	52	196	0	579	0	0	0	189	1	0	0	0	0	17	197	223	46	0	0	493	1155	103	0	352	415	104	0	0	657	24	121	293	0	8	443	0	103	0	193	1	0	0	958	64	0	0	120	46	61	0	271	694	26
0101000110010	0	9	210	111	1	0	321	0	0	0	180	0	1	190	69	0	196	58	91	0	198	0	0	0	392	1	0	0	0	1	16	148	536	53	0	0	0	906	97	0	13	136	4	0	256	248	1	107	90	210	0	204	36	0	0	1423	2	0	0	573	1	0	0	2	0	1	6	70	101	0
0101000110011	1	61	966	380	2	241	809	23	0	4	665	58	20	562	115	80	717	9	94	0	638	37	0	0	1320	0	0	0	0	1	0	388	2019	133	0	2	3	2521	380	1	220	2132	122	0	811	1131	93	275	407	114	0	988	79	108	0	896	1	0	0	1785	58	0	0	2	3	35	232	429	339	3
0101000110100	1	36	998	1022	2	18	932	225	2	23	798	265	12	46	564	134	671	613	119	0	1094	33	0	0	1663	18	0	0	1	4	46	618	1137	193	0	1	4	2145	1854	1	7	2100	1194	1	461	1680	432	2	229	1100	351	970	70	0	0	1830	126	0	0	2548	27	0	0	4	3	148	272	980	592	341
0101000110101	0	2	390	351	2	65	429	132	0	0	223	1	1	8	233	4	379	10	4	0	864	32	0	0	998	0	0	0	1	4	0	503	515	55	0	3	6	1155	699	1	2	864	307	0	5	550	64	0	101	229	67	1006	131	4	0	970	101	0	0	737	2	0	0	0	0	182	83	442	281	65
0101000110110	1	130	1512	2399	3	12	788	1225	0	4	1002	1254	19	113	507	1253	992	1420	720	0	2523	155	0	0	3419	1	0	0	7	67	155	1083	3514	378	0	3	38	2783	4305	2	13	1923	3639	0	17	1448	2328	5	5	2141	2166	2279	599	163	0	1933	235	0	0	4539	64	0	0	3	435	695	524	872	1747	833
0101000110111	3	222	3883	7405	2	51	2573	3314	5	27	1982	3757	75	61	2095	2742	2722	2162	2445	0	5954	249	0	0	9273	55	0	0	17	106	116	3249	7425	1100	0	7	264	6169	12197	6	138	4568	8868	1	227	5036	6201	93	65	4730	3011	2705	1269	300	0	7813	919	0	0	11663	267	0	0	181	103	1009	1961	3129	3769	1656
0101000111000	0	890	2726	34	2	1021	1561	31	15	330	2010	104	72	1389	736	71	2003	165	251	0	3311	45	0	0	4143	19	0	0	60	11	4	1198	3660	599	1	3	1712	4705	12	0	1974	3344	210	4	1831	2641	8	236	1849	1720	4	3089	225	89	0	3244	250	0	0	3723	183	0	0	3	39	273	1028	1056	1578	433
0101000111001	0	51	313	2	0	190	299	0	0	263	70	57	0	210	52	61	175	164	11	0	550	0	0	0	735	37	0	0	0	0	3	166	496	22	0	0	111	601	1	1	176	496	76	0	633	888	1	0	252	216	1	231	4	1	0	425	1	0	0	1157	0	0	0	0	3	1	127	231	358	22
0101000111010	0	1	706	141	1	6	417	83	0	2	249	108	27	394	37	0	266	210	249	0	482	0	0	0	614	0	0	0	2	1	4	253	331	31	0	0	3	1037	163	1	64	701	3	0	250	727	129	2	141	431	163	3	100	0	0	977	126	0	0	360	0	0	0	2	0	120	84	147	275	57
0101000111011	0	2	481	100	0	1	428	2	0	27	499	64	1	318	56	1	318	5	7	0	442	0	0	0	799	57	0	0	0	0	1	367	604	85	0	1	119	770	213	0	169	618	6	0	421	919	105	85	345	286	85	217	64	1	0	661	50	0	0	965	0	0	0	0	56	2	260	146	318	31
0101000111100	0	0	147	150	0	0	56	0	0	5	281	75	1	17	118	84	118	1	0	0	143	31	0	0	314	0	0	0	0	1	1	205	88	119	0	0	0	107	18	0	2	178	40	0	3	268	110	0	407	159	0	113	0	0	0	84	0	0	0	329	1	0	0	0	0	1	266	198	215	65
0101000111101	0	53	805	416	2	16	566	5	0	5	594	92	13	146	160	0	493	94	1	0	528	21	0	0	707	0	0	0	0	1	1	506	638	143	0	0	115	786	935	1	63	1534	144	0	6	1004	4	1	147	496	7	392	82	6	0	412	1	0	0	767	72	0	0	38	2	4	336	477	412	78
0101000111110	1	4	395	720	0	3	340	209	0	0	464	382	1	40	196	112	306	297	114	0	554	8	0	0	907	27	0	0	0	1	7	288	1300	94	0	1	8	1253	942	0	4	941	507	0	3	1352	883	3	246	1125	169	3	198	0	0	962	3	0	0	929	1	0	0	1	5	5	208	271	444	168
0101000111111	0	0	2	151	0	0	224	85	0	0	118	0	0	0	131	0	5	1	0	0	6	0	0	0	185	0	0	0	0	0	0	0	434	6	0	0	0	82	99	0	0	4	59	0	0	165	89	0	0	0	112	1	0	0	0	73	0	0	0	470	1	0	0	0	0	0	0	100	27	29
0101001000000	0	142	1103	440	0	136	1322	75	0	10	832	52	31	286	277	293	835	237	135	0	1302	10	0	0	1847	47	0	0	3	2	31	658	1054	336	0	0	5	2092	767	4	327	1958	349	0	353	2072	1	10	303	139	4	1080	276	0	0	1102	69	0	0	1383	2	0	0	1	226	167	228	200	768	123
0101001000001	1	71	1032	124	0	35	476	22	1	51	446	106	1	802	100	28	221	186	150	0	526	27	0	0	828	0	0	0	0	16	26	221	312	109	0	1	2	1903	383	0	97	956	105	0	150	1484	3	0	69	631	10	680	265	8	0	1186	0	0	0	1526	0	0	0	0	3	235	71	200	467	33
0101001000010	0	1	113	175	1	1	86	0	0	0	39	35	1	35	69	0	24	134	23	0	122	0	0	0	164	0	0	0	1	0	1	75	208	69	0	0	1	106	48	0	1	69	248	0	3	0	0	0	0	173	0	296	0	0	0	280	0	0	0	430	1	0	0	0	0	0	85	148	48	14
0101001000011	0	1	943	732	0	0	944	228	2	70	942	268	16	208	181	8	543	187	67	0	505	232	0	0	2170	0	0	0	22	67	24	235	866	149	0	2	10	1977	2051	4	49	1472	627	0	5	1364	84	0	380	1039	4	1444	186	100	0	1219	1	0	0	2059	64	0	0	1	201	147	452	438	810	318
0101001000100	1	18	1014	2614	3	5	709	1500	4	31	252	2444	26	48	463	2572	974	699	1639	0	2511	72	0	0	4293	63	0	0	12	7	96	800	3385	553	0	0	11	2534	7283	1	106	1351	3804	1	15	510	4316	2	96	1217	2456	1087	1124	707	0	4692	191	0	0	5369	181	0	0	161	34	718	983	1043	1657	436
0101001000101	1	0	140	435	0	0	297	153	0	0	24	389	2	0	78	342	92	115	252	0	359	1	0	0	158	0	0	0	0	3	0	234	330	30	0	0	5	405	241	2	1	82	337	0	3	40	459	3	0	196	25	12	5	158	0	115	1	0	0	780	1	0	0	0	2	142	95	186	397	398
0101001000110	0	4	214	863	5	54	146	811	0	2	5	858	3	4	69	1005	200	134	1018	0	1346	14	0	0	1881	0	0	0	0	42	5	331	906	253	1	4	6	655	1822	0	3	134	1651	0	15	2	2851	2	5	234	903	86	89	187	0	1509	84	0	0	1834	56	0	0	1	327	132	215	332	1071	796
0101001000111	0	0	37	66	0	7	0	96	0	0	9	97	9	0	0	138	42	0	123	0	180	0	0	0	119	0	0	0	7	0	0	80	411	11	0	0	0	59	314	0	0	0	216	0	2	0	496	0	0	0	0	150	4	0	0	229	87	0	0	149	0	0	0	0	0	1	74	30	32	0
0101001001000	0	32	1661	529	2	103	1047	59	13	167	1495	107	70	741	245	6	532	511	76	0	1595	30	0	0	2821	28	0	0	0	6	68	512	2197	280	1	0	107	2713	918	2	451	3132	10	1	1197	1266	5	131	1184	435	346	2761	77	221	0	2931	17	0	0	3364	104	0	0	0	10	508	484	784	850	107
0101001001001	0	5	1383	140	2	3	694	143	0	76	634	36	24	501	258	2	381	296	11	0	961	35	0	0	1918	0	0	0	0	4	9	117	941	277	0	1	116	2045	1088	92	178	2161	72	0	434	1383	10	2	573	744	76	1503	217	10	0	1699	129	0	0	2229	3	0	0	0	91	161	326	546	678	227
0101001001010	0	0	77	468	0	4	186	8	0	1	235	187	0	41	132	1	137	56	2	0	434	67	0	0	696	0	0	0	0	1	1	98	303	46	0	0	167	350	530	0	1	894	269	0	2	611	215	0	437	606	2	639	318	152	0	605	0	0	0	728	19	0	0	0	89	68	278	84	323	65
0101001001011	1	9	513	807	0	1	254	230	2	21	620	252	16	53	390	175	243	19	311	0	1212	23	0	0	1176	0	0	0	0	3	9	588	1211	235	0	0	91	829	1715	1	3	1000	383	1	5	1149	460	3	140	608	6	749	219	80	0	1332	4	0	0	1890	0	0	0	6	0	119	276	423	624	40
0101001001100	0	51	303	1008	0	15	47	555	0	1	101	852	6	6	291	375	152	7	355	0	696	12	0	0	1338	0	0	0	0	3	0	138	723	98	0	1	0	1161	944	0	5	349	1416	0	3	512	461	2	0	166	272	581	87	66	0	796	84	0	0	2370	45	0	0	0	0	167	202	221	461	112
0101001001101	0	1	426	2127	3	11	436	944	0	0	463	1275	38	3	589	1342	690	113	1246	0	2581	142	0	0	3502	11	0	0	66	8	94	924	2698	381	0	0	7	1873	3683	2	78	602	2186	0	299	716	2419	2	58	1430	1077	354	482	95	0	4942	148	0	0	4048	45	0	0	91	7	481	796	927	1088	233
0101001001110	0	4	866	1751	1	2	109	851	0	1	149	1061	47	3	53	1574	289	439	719	0	1719	119	0	0	2926	0	0	0	63	35	7	515	1791	240	0	0	90	1100	2939	1	8	339	2177	1	12	278	1038	9	9	6	1436	137	212	459	0	1296	384	0	0	2313	5	0	0	1	9	165	754	681	695	234
0101001001111	0	12	503	1710	1	5	49	888	1	11	76	898	38	6	19	1057	418	20	1397	0	1017	86	0	0	1279	1	0	0	4	6	24	275	1576	183	0	2	4	1611	4038	2	12	332	3099	1	6	174	2786	82	8	267	1455	273	410	338	0	1870	148	0	0	3149	81	0	0	3	4	148	325	632	939	321
0101001010000	0	108	487	133	1	1	310	0	0	0	287	135	7	315	149	140	474	158	5	0	358	0	0	0	506	4	0	0	0	1	0	8	209	64	0	0	6	560	407	0	0	364	1	0	192	913	0	0	186	262	2	2	0	0	0	606	1	0	0	246	38	0	0	0	1	6	123	136	283	30
0101001010001	0	9	1321	196	1	126	970	39	0	3	631	51	49	525	139	24	386	170	5	0	1035	13	0	0	2254	0	0	0	0	5	3	302	1302	164	0	1	3	2430	176	0	288	1645	249	0	246	1682	152	115	868	115	4	587	228	3	0	1648	8	0	0	2679	16	0	0	3	99	302	260	497	812	438
0101001010010	0	0	294	326	0	0	336	30	0	0	235	165	0	60	114	117	116	294	123	0	213	18	0	0	797	0	0	0	2	4	0	83	632	112	0	0	0	610	421	0	11	427	110	0	3	143	2	1	211	184	124	454	81	192	0	317	1	0	0	909	0	0	0	0	1	2	215	133	127	51
0101001010011	0	1	460	389	0	0	325	63	0	3	437	56	0	64	229	70	197	275	32	0	382	178	0	0	483	0	0	0	1	0	0	151	634	91	0	1	2	1040	484	2	1	394	106	0	6	585	1	1	37	410	69	366	1	3	0	417	3	0	0	1079	0	0	0	1	0	9	88	182	377	2
0101001010100	0	1	234	838	0	0	180	325	0	0	120	335	16	0	124	301	161	543	257	0	548	0	0	0	1115	36	0	0	0	2	2	173	656	83	0	0	1	821	1305	0	6	283	712	0	1	597	657	0	0	447	880	533	29	9	0	967	67	0	0	1672	1	0	0	0	75	113	124	174	595	35
0101001010101	0	5	480	1478	3	42	752	729	1	8	376	974	7	1	311	599	482	595	971	0	1933	2	0	0	2366	4	0	0	2	56	19	648	1744	305	0	3	18	1291	2644	2	23	834	1506	0	8	20	1527	2	19	648	1333	1087	565	230	0	2659	196	0	0	3011	68	0	0	4	0	288	539	804	962	1115
0101001010110	0	1	293	833	0	0	104	684	0	7	0	927	7	3	68	817	254	0	630	0	825	23	0	0	1339	28	0	0	2	1	66	297	811	111	0	0	1	827	1562	0	5	193	1245	0	3	315	756	0	3	307	737	8	163	363	0	442	77	0	0	1986	1	0	0	0	0	1	313	516	722	2
0101001010111	0	2	158	841	0	1	57	567	0	0	11	568	4	2	32	566	178	68	327	0	385	124	0	0	1297	0	0	0	62	4	14	231	756	113	0	0	95	1097	1163	0	48	283	1413	0	5	129	1282	4	12	91	530	2	202	208	0	740	0	0	0	845	2	0	0	3	0	4	655	192	371	29
0101001011000	1	109	2076	407	3	152	1725	1	1	206	1573	250	29	802	306	138	906	351	300	0	1163	102	0	0	3201	66	0	0	1	3	102	500	3032	423	0	1	4	2611	1207	0	366	3123	176	0	172	2316	463	212	565	100	135	2660	121	36	0	3320	197	0	0	3983	76	0	0	0	7	307	534	902	888	536
0101001011001	3	255	4166	1087	0	313	2570	264	7	76	2642	178	97	1999	538	208	1787	559	279	0	3604	12	0	0	4882	31	0	0	2	43	133	1024	4143	835	0	4	303	7250	1599	1	628	6393	566	0	1842	3989	207	325	1597	1614	12	4467	490	49	0	3805	194	0	0	7778	376	0	0	4	7	361	818	1641	2321	708
0101001011010	0	5	363	800	0	2	507	99	0	16	387	24	6	57	265	97	478	403	140	0	774	3	0	0	1583	34	0	0	0	1	1	199	777	181	1	1	1	649	1493	0	1	604	650	0	305	1004	236	0	155	1271	60	890	204	0	0	1533	139	0	0	1115	62	0	0	0	0	1	203	422	519	108
0101001011011	0	0	419	706	1	21	603	76	0	0	226	89	0	146	424	42	528	576	96	0	740	0	0	0	1049	22	0	0	0	0	2	11	738	162	0	4	5	475	1213	0	31	394	376	0	2	476	67	0	243	1195	5	123	44	0	0	661	1	0	0	909	9	0	0	2	0	5	92	309	497	59
0101001011100	0	2	367	475	0	1	278	71	0	1	177	249	0	19	125	110	267	27	97	0	765	0	0	0	1021	0	0	0	2	5	63	183	788	105	0	4	10	603	657	2	0	210	347	0	1	242	235	0	60	279	87	378	64	229	0	737	56	0	0	867	1	0	0	0	0	97	134	129	281	90
0101001011101	2	1	579	969	0	3	328	671	1	0	266	709	1	0	324	284	245	107	259	0	942	68	0	0	1860	20	0	0	11	5	33	460	1401	323	0	4	1	1135	2372	0	22	889	2087	0	4	826	635	1	4	710	485	647	349	217	0	2554	147	0	0	2915	40	0	0	97	2	199	798	442	568	183
0101001011110	0	100	363	871	1	84	175	499	1	2	0	891	1	4	58	293	385	173	99	0	1231	41	0	0	1365	4	0	0	4	0	24	404	957	166	0	2	8	826	1584	0	2	232	823	1	5	217	706	13	4	395	665	151	162	414	0	2414	128	0	0	831	84	0	0	1	276	208	328	335	243	182
0101001011111	0	0	267	1573	2	3	67	835	1	0	12	1324	10	43	50	1150	381	266	517	0	1077	53	0	0	1568	1	0	0	1	4	2	354	1136	362	0	0	2	1039	2673	0	89	329	2376	2	15	631	1456	2	6	5	1470	254	206	430	0	1752	2	0	0	2863	5	0	0	1	3	193	510	681	514	135
0101001100000	1	78	1954	917	1	150	2959	152	0	77	903	183	44	1019	584	167	794	625	440	0	2700	163	0	0	3221	0	0	0	58	9	63	498	2763	574	1	9	35	3120	938	1	619	3663	282	0	1791	3560	503	81	1194	1117	13	1469	177	2	0	1710	311	0	0	4028	217	0	0	125	10	484	262	835	1736	521
0101001100001	0	0	284	7	0	0	68	11	0	0	0	0	10	37	146	0	222	8	30	0	48	0	0	0	485	0	0	0	7	0	0	71	141	36	0	0	0	279	0	0	0	41	1	0	2	128	0	0	118	0	0	92	0	0	0	61	0	0	0	369	0	0	0	0	0	0	56	124	229	24
0101001100010	0	14	234	153	0	0	162	3	0	1	106	45	28	1	90	0	124	0	3	0	139	0	0	0	221	0	0	0	0	2	0	89	198	161	0	0	0	167	485	0	2	393	68	0	0	217	58	0	51	536	1	1	7	1	0	405	0	0	0	270	38	0	0	50	0	0	0	44	115	0
0101001100011	0	0	22	83	1	1	285	74	0	0	193	216	9	91	25	0	139	1	0	0	240	13	0	0	310	0	0	0	51	3	2	29	184	70	0	0	0	329	625	0	4	125	124	0	1	577	0	3	57	1	0	116	51	270	0	427	0	0	0	561	0	0	0	1	42	106	111	63	381	1
0101001100100	0	0	0	64	0	0	1	34	1	1	0	1	0	0	18	78	65	0	0	0	317	0	0	0	514	0	0	0	0	1	3	37	55	28	0	0	7	186	81	0	0	96	222	1	2	15	238	138	1	0	0	433	37	131	0	217	0	0	0	202	0	0	0	0	0	2	3	2	60	81
0101001100101	0	38	217	974	2	3	619	666	5	2	336	858	10	1	301	762	479	184	556	0	1367	91	0	0	1767	16	0	0	0	0	16	425	1659	238	0	0	51	749	1232	0	20	674	806	0	4	446	819	4	9	355	446	302	278	213	0	1922	1	0	0	2171	76	0	0	163	85	132	45	233	1003	519
0101001100110	2	52	1937	3468	2	197	130	2601	1	2	50	3299	66	230	531	2570	1376	1212	2407	0	4418	182	0	0	6262	2	0	0	50	26	97	1220	3911	886	0	2	56	2067	6492	3	307	913	4477	2	19	264	5428	16	70	258	3293	543	646	1103	0	5082	308	0	0	6628	145	0	0	87	69	304	1206	1200	1991	1297
0101001100111	0	18	615	1240	2	9	169	1064	6	0	102	1586	5	29	184	2040	468	231	1796	0	2069	165	0	0	2606	0	0	0	31	52	12	650	1647	314	0	2	21	991	2788	1	15	730	1655	0	9	482	1631	2	4	315	1850	410	220	638	0	2283	250	0	0	3598	73	0	0	115	87	521	497	513	875	135
0101001101000	0	56	859	324	1	29	1226	210	0	79	712	241	32	730	429	117	819	358	316	0	576	10	0	0	1710	0	0	0	2	6	15	377	1777	252	0	1	4	2172	643	1	434	2564	348	0	603	960	2	58	694	730	71	1750	148	1	0	900	327	0	0	2557	156	0	0	1	27	191	623	217	703	274
